ogc_fid,comid,fdate,resolution,gnis_id,gnis_name,lengthkm,reachcode,flowdir,wbareacomi,ftype,fcode,streamleve,streamorde,streamcalc,fromnode,tonode,hydroseq,levelpathi,pathlength,terminalpa,arbolatesu,divergence,startflag,terminalfl,dnlevel,uplevelpat,uphydroseq,dnlevelpat,dnminorhyd,dndraincou,dnhydroseq,frommeas,tomeas,rtndiv,vpuin,vpuout,areasqkm,totdasqkm,divdasqkm,hwnodesqkm,maxelevraw,minelevraw,maxelevsmo,minelevsmo,slope,elevfixed,hwtype,slopelenkm,q0001a,v0001a,qincr0001a,q0001b,v0001b,qincr0001b,q0001c,v0001c,qincr0001c,q0001d,v0001d,qincr0001d,q0001e,v0001e,qincr0001e,q0001f,qincr0001f,arq0001nav,temp0001,ppt0001,pet0001,qloss0001,qg0001adj,qg0001nav,lat,gageadj,avgqadj,smgageid,smgageq,etfract1,etfract2,a,b,bcf,r2,ser,nref,gageseqp,gageseq,shape_leng,rpuid
"174432","8397328",2008/07/22,Medium,"582839",Marshyhope Creek,0.289,"02080109011541",With Digitized,"120049846",ArtificialPath,"55800","2","4","4",200044773,200044572,200011680,200011680,45.658,200009334,526.669,"0","0","0","1",200011680,200011782,200009334,0,"1",200011576,0,53.18894,"0","0","0",0.0756,572.3172,566.9613,,-9998,0,0,0,1e-005,"0",,0.289000004529953,231.45,0.8096,0.02819,231.45,0.8096,0.02819,253.481,0.8133,0.03078,253.481,0.8133,0.03078,255.147,0.81357,0.03078,254.753,0.03078,0,13.95833,1117.5099,784.15158,0,0,0,38.529,"0",0,"0",0,0.300000011920929,0.5,0.04337,0.99709,1.00687,0.9927,0.052,115,0.200000002980232,0,0.00301860745617509,02a
"174435","8392828",2008/07/22,Medium,"582839",Marshyhope Creek,1.61,"02080109011542",With Digitized,"120049846",ArtificialPath,"55800","2","4","4",200044550,200044559,200012240,200011680,51.691,200009334,510.968,"0","0","0","2",200011680,200012367,200011680,0,"1",200012121,77.33593,100,"0","0","0",2.2608,554.4729,549.117,,-9998,0,0,0,1e-005,"0",,1.61000001430511,224.736,0.80603,0.85066,224.736,0.80603,0.85066,246.148,0.80971,1.03517,246.148,0.80971,1.03517,247.814,0.80999,1.03517,247.42,1.03517,0,13.86694,1119.9204,779.9727,0,0,0,38.5612,"0",0,"0",0,0.300000011920929,0.5,0.04337,0.99709,1.00687,0.9927,0.052,115,0.200000002980232,0,0.0164407636232597,02a
"174437","8392846",2008/07/22,Medium,"582839",Marshyhope Creek,1.587,"02080109011542",With Digitized,"120049846",ArtificialPath,"55800","2","4","4",200044559,200044565,200012121,200011680,50.104,200009334,516.431,"0","0","0","2",200011680,200012240,200011680,0,"1",200012010,55.02421,77.33593,"0","0","0",3.8268,562.7466,557.3907,,-9998,0,0,0,1e-005,"0",,1.58700001239777,227.883,0.8077,1.4354,227.883,0.8077,1.4354,249.585,0.81139,1.72515,249.585,0.81139,1.72515,251.251,0.81166,1.72515,250.857,1.72515,0,13.90182,1118.3685,782.21104,0,0,0,38.5514,"0",0,"0",0,0.300000011920929,0.5,0.04337,0.99709,1.00687,0.9927,0.052,115,0.200000002980232,0,0.0159459109571774,02a
"174438","8392794",2008/07/22,Medium,"582839",Marshyhope Creek,1.348,"02080109011543",With Digitized,"120049846",ArtificialPath,"55800","2","4","4",200044533,200044536,200012757,200011680,55.815,200009334,489.176,"0","0","0","2",200011680,200012897,200011680,0,"1",200012625,0,100,"0","0","0",0.5913,530.4159,525.06,,-9998,0,5,5,1e-005,"0",,1.34800004959106,215.472,0.80104,0.22728,215.472,0.80104,0.22728,236.031,0.80469,0.37324,236.031,0.80469,0.37324,237.697,0.80497,0.37324,237.303,0.37324,0,13.75852,1122.87949,774.25361,0,0,0,38.5864,"0",0,"0",0,0.300000011920929,0.5,0.04337,0.99709,1.00687,0.9927,0.052,115,0.200000002980232,0,0.0132478503000686,02a
"175290","8392758",2008/07/22,Medium,"582839",Marshyhope Creek,0.544,"02080109012244",With Digitized,"120049846",ArtificialPath,"55800","2","4","4",200044515,200044521,200013036,200011680,58.621,200009334,475.328,"0","0","0","2",200011680,200013185,200011680,0,"1",200012897,0,100,"1","0","0",0.3438,514.4562,509.1003,,-9998,-9,5,5,1e-005,"0",,0.544000029563904,209.352,0.79764,0.13243,209.352,0.79764,0.13243,229.346,0.80127,0.08579,229.346,0.80127,0.08579,231.012,0.80156,0.08579,230.618,0.08579,0,13.76164,1124.87081,775.29413,0,0,0,38.6024,"0",0,"0",0,0.300000011920929,0.5,0.04337,0.99709,1.00687,0.9927,0.052,115,0.200000002980232,0,0.00571017636511713,02a
"175293","8392800",2008/07/22,Medium,"582839",Marshyhope Creek,0.258,"02080109012247",With Digitized,"120049846",ArtificialPath,"55800","2","4","4",200044536,200044544,200012625,200011680,55.557,200009334,499.09,"0","0","0","2",200011680,200012757,200011680,0,"1",200012496,0,100,"0","0","0",0.0594,538.9137,533.5578,,-9998,0,5,5,1e-005,"0",,0.257999986410141,218.773,0.80283,0.02275,218.773,0.80283,0.02275,239.636,0.80649,-0.02957,239.636,0.80649,-0.02957,241.302,0.80677,-0.02957,240.908,-0.02957,0,13.77652,1121.49371,775.20439,0,0,0,38.5774,"0",0,"0",0,0.300000011920929,0.5,0.04337,0.99709,1.00687,0.9927,0.052,115,0.200000002980232,0,0.00235035339904149,02a
"175294","8397324",2008/07/22,Medium,"582839",Marshyhope Creek,0.045,"02080109012248",With Digitized,"120049846",ArtificialPath,"55800","2","4","4",200044771,200044550,200012367,200011680,53.301,200009334,507.633,"0","0","0","2",200011680,200012496,200011680,0,"1",200012240,0,1.97733,"0","0","0",0.0027,549.162,543.8061,,-9998,0,5,0,0.00111111,"0",,0.0450000017881393,222.733,1.35853,0.00101,222.733,1.35853,0.00101,243.961,1.36631,0.22786,243.961,1.36631,0.22786,245.627,1.36689,0.22786,245.233,0.22786,0,13.85333,1120.33,779.12309,0,0,0,38.5655,"0",0,"0",0,0.300000011920929,0.5,0.04337,0.99709,1.00687,0.9927,0.052,115,0.200000002980232,0,0.000408158106594079,02a
"175331","8392770",2008/07/22,Medium,"582839",Marshyhope Creek,1.458,"02080109012282",With Digitized,"120049846",ArtificialPath,"55800","2","4","4",200044521,200044533,200012897,200011680,57.163,200009334,484.352,"0","0","0","2",200011680,200013036,200011680,0,"1",200012757,0,100,"0","0","0",1.8315,526.284,520.9281,,-9998,-7,5,5,1e-005,"0",,1.45799994468689,213.89,0.80017,0.70464,213.89,0.80017,0.70464,234.302,0.80381,0.70826,234.302,0.80381,0.70826,235.968,0.8041,0.70826,235.574,0.70826,0,13.75304,1123.92819,774.49328,0,0,0,38.5949,"0",0,"0",0,0.300000011920929,0.5,0.04337,0.99709,1.00687,0.9927,0.052,115,0.200000002980232,0,0.0150155349393225,02a
"174439","8392712",2008/07/22,Medium,"582839",Marshyhope Creek,2.038,"02080109011544",With Digitized,"120049846",ArtificialPath,"55800","2","4","4",200044492,200044496,200013825,200011680,61.239,200009334,453.234,"0","0","0","2",200011680,200013990,200011680,0,"1",200013660,21.53866,56.48554,"0","0","0",3.6225,484.3206,478.9647,,-9998,-9,5,5,1e-005,"0",,2.03800010681152,197.617,0.79096,1.40864,197.617,0.79096,1.40864,216.526,0.79455,1.69903,216.526,0.79455,1.69903,218.192,0.79485,1.69903,217.798,1.69903,0,13.76775,1127.2054,776.40944,0,0,0,38.6264,"0",0,"0",0,0.300000011920929,0.5,0.04337,0.99709,1.00687,0.9927,0.052,115,0.200000002980232,0,0.0193859545613966,02a
"174440","8392728",2008/07/22,Medium,"582839",Marshyhope Creek,0.431,"02080109011544",With Digitized,"120049846",ArtificialPath,"55800","2","4","4",200044500,200044502,200013493,200011680,59.979,200009334,461.078,"0","0","0","2",200011680,200013660,200011680,0,"1",200013335,0,7.36476,"0","0","0",0.1854,496.0269,490.671,,-9998,0,5,5,1e-005,"0",,0.430999994277954,202.171,0.79359,0.07141,202.171,0.79359,0.07141,221.501,0.79719,0.0292,221.501,0.79719,0.0292,223.167,0.79749,0.0292,222.773,0.0292,0,13.81177,1125.3008,778.15077,0,0,0,38.6054,"0",0,"0",0,0.300000011920929,0.5,0.04337,0.99709,1.00687,0.9927,0.052,115,0.200000002980232,0,0.00384813301370502,02a
